,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
7,2021,7846,299200,80.0,1,3.0,299200,24.0,24.93,5,9,Current,374000.0,374000.0,0.0,299200
31,2021,6086,316000,80.0,1,2.75,316000,30.68,30.98,4,9,Current,395000.0,395000.0,0.0,316000
33,2021,8357,270000,63.0,1,2.5,270000,22.87,29.08,5,9,Current,428571.4285714286,428571.4285714286,0.0,270000
40,2021,11666,400000,60.0,1,2.875,400000,23.26,35.32,5,9,Current,666666.6666666667,666666.6666666667,0.0,400000
57,2021,13065,393000,73.0,1,2.75,393000,24.24,30.21,5,9,Current,538356.1643835617,538356.1643835617,0.0,393000
86,2021,10323,380500,80.0,1,3.125,380500,18.46,18.46,5,9,Current,475625.0,475625.0,0.0,380500
87,2021,8582,269516,51.0,1,2.75,270000,21.12,40.74,5,9,Current,529411.7647058823,529411.7647058823,0.0,269516
88,2021,9399,345000,49.0,1,2.75,345000,24.43,45.67,4,9,Current,704081.6326530612,704081.6326530612,0.0,345000
96,2021,8282,319500,74.0,1,3.125,319500,25.37,41.18,4,9,Current,431756.7567567568,431756.7567567568,0.0,319500
108,2021,6974,332000,80.0,1,2.875,332000,30.01,38.05,4,9,Current,415000.0,415000.0,0.0,332000
130,2021,7592,345000,69.0,1,3.0,345000,32.24,37.25,4,9,Current,500000.00000000006,500000.00000000006,0.0,345000
134,2021,8970,266705,64.0,1,2.75,266705,21.84,34.31,5,9,Current,416726.5625,416726.5625,0.0,266705
140,2021,6413,305000,59.0,1,3.0,305000,29.2,34.73,5,9,Current,516949.1525423729,516949.1525423729,0.0,305000
181,2021,9991,296000,80.0,1,3.0,296000,20.24,23.02,5,9,Current,370000.0,370000.0,0.0,296000
186,2021,7436,367500,80.0,1,2.875,367500,28.7,39.23,4,9,Current,459375.0,459375.0,0.0,367500
188,2021,9805,350000,67.0,1,3.0,350000,22.06,34.68,4,9,Current,522388.0597014925,522388.0597014925,0.0,350000
191,2021,7549,352381,62.0,1,2.875,353000,28.78,40.94,5,9,Current,569354.8387096775,569354.8387096775,0.0,352381
213,2021,7333,259900,73.0,1,2.75,259900,22.37,30.73,5,9,Current,356027.397260274,356027.397260274,0.0,259900
215,2021,8464,322000,80.0,1,2.875,322000,21.89,22.7,5,9,Current,402500.0,402500.0,0.0,322000
282,2021,10000,355999,77.0,1,3.0,356000,20.62,24.77,4,9,Current,462337.6623376623,462337.6623376623,0.0,355999
310,2021,10247,300000,75.0,1,2.875,300000,17.05,32.9,4,9,Current,400000.0,400000.0,0.0,300000
325,2021,8990,287900,71.0,1,2.875,287900,20.16,34.64,4,9,Current,405492.9577464789,405492.9577464789,0.0,287900
328,2021,6468,379000,74.0,1,2.75,379000,32.53,34.24,5,9,Current,512162.1621621622,512162.1621621622,0.0,379000
337,2021,7849,375000,57.0,2,2.875,375000,32.91,39.14,5,9,Current,657894.7368421053,657894.7368421053,0.0,375000
347,2021,6500,307471,73.0,1,3.0,308000,27.68,31.2,5,9,Current,421917.8082191781,421917.8082191781,0.0,307471
350,2021,7943,320000,80.0,1,2.625,320000,31.08,38.73,5,9,Current,400000.0,400000.0,0.0,320000
360,2021,9329,406250,76.0,1,2.875,406250,26.59,39.78,5,9,Current,534539.4736842106,534539.4736842106,0.0,406250
391,2021,6769,275000,79.0,1,2.875,275000,22.82,35.3,5,9,Current,348101.2658227848,348101.2658227848,0.0,275000
412,2021,9750,378691,80.0,1,3.0,380000,24.51,34.47,5,9,Current,475000.0,475000.0,0.0,378691
415,2021,10650,333750,75.0,1,3.0,333750,21.68,44.67,5,9,Current,445000.0,445000.0,0.0,333750
417,2021,8501,325000,67.0,1,2.75,325000,24.56,46.65,4,9,Current,485074.6268656716,485074.6268656716,0.0,325000
443,2021,6172,360000,75.0,1,2.875,360000,33.27,40.4,4,9,Current,480000.0,480000.0,0.0,360000
451,2021,5836,300000,70.0,1,3.125,300000,32.61,40.42,5,9,Current,428571.4285714286,428571.4285714286,0.0,300000
461,2021,11875,458485,74.0,1,3.25,460000,23.75,29.78,5,9,Current,621621.6216216217,621621.6216216217,0.0,458485
469,2021,10828,414000,79.0,1,2.875,414000,21.24,36.37,5,9,Current,524050.6329113924,524050.6329113924,0.0,414000
483,2021,7428,374580,70.0,1,3.25,376000,29.07,45.28,4,9,Current,537142.8571428572,537142.8571428572,0.0,374580
509,2021,10179,300000,72.0,1,2.875,300000,19.67,25.63,4,9,Current,416666.6666666667,416666.6666666667,0.0,300000
542,2021,7712,336000,80.0,1,2.875,336000,28.52,42.9,5,9,Current,420000.0,420000.0,0.0,336000
560,2021,11868,337500,75.0,1,3.0,337500,20.58,21.36,5,9,Current,450000.0,450000.0,0.0,337500
563,2021,6240,325673,69.0,1,3.25,327000,30.05,40.37,5,9,Current,473913.0434782609,473913.0434782609,0.0,325673
