,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
15,2021,5683,177500,54.0,2,2.75,177500,21.68,30.62,5,5,Current,328703.7037037037,328703.7037037037,0.0,177500
27,2021,4225,153000,57.0,2,2.875,153000,31.45,44.87,5,5,Current,268421.052631579,268421.052631579,0.0,153000
62,2021,4662,253000,37.0,2,3.0,253000,38.77,42.52,4,5,Current,683783.7837837838,683783.7837837838,0.0,253000
90,2021,9510,153577,47.0,2,2.5,155000,22.13,31.14,3,2,Current,329787.23404255323,329787.23404255323,0.0,153577
95,2021,5507,102400,36.0,2,2.75,102500,20.74,36.99,4,5,Current,284722.22222222225,284722.22222222225,0.0,102400
148,2021,10579,259534,22.0,2,2.75,260000,20.66,34.21,5,5,Current,1181818.181818182,1181818.181818182,0.0,259534
169,2021,8576,227000,51.0,2,2.5,227000,25.53,26.04,5,5,Current,445098.0392156863,445098.0392156863,0.0,227000
219,2021,9554,259553,29.0,2,3.0,260000,23.58,35.73,4,3,Current,896551.7241379311,896551.7241379311,0.0,259553
229,2021,8927,260000,34.0,2,2.75,260000,28.86,31.21,5,5,Current,764705.8823529411,764705.8823529411,0.0,260000
233,2021,7828,250000,46.0,2,3.0,250000,19.85,42.91,4,2,Current,543478.2608695652,543478.2608695652,0.0,250000
237,2021,4831,269526,29.0,2,2.875,270000,41.33,46.14,5,5,Current,931034.4827586208,931034.4827586208,0.0,269526
241,2021,6543,157000,43.0,2,2.25,157000,22.17,23.08,5,5,Current,365116.27906976745,365116.27906976745,0.0,157000
247,2021,10299,200000,58.0,2,2.75,200000,16.79,33.89,5,5,Current,344827.5862068966,344827.5862068966,0.0,200000
255,2021,6393,158600,49.0,2,2.5,158600,22.15,35.55,4,5,Current,323673.4693877551,323673.4693877551,0.0,158600
261,2021,7577,190000,56.0,2,2.625,190000,18.08,42.1,4,4,Current,339285.71428571426,339285.71428571426,0.0,190000
278,2021,9095,213000,43.0,2,2.75,213000,18.56,37.34,4,4,Current,495348.8372093024,495348.8372093024,0.0,213000
281,2021,6442,250000,23.0,2,2.875,250000,38.56,42.85,5,5,Current,1086956.5217391304,1086956.5217391304,0.0,250000
298,2021,5715,183000,44.0,2,2.0,183000,31.81,42.56,5,5,Current,415909.0909090909,415909.0909090909,0.0,183000
309,2021,3541,86200,46.0,2,2.375,86200,32.06,39.12,5,5,Current,187391.30434782608,187391.30434782608,0.0,86200
320,2021,10420,176000,51.0,2,2.25,176000,19.75,26.91,5,5,Current,345098.03921568627,345098.03921568627,0.0,176000
330,2021,15606,255000,32.0,2,2.25,255000,18.17,36.16,5,5,Current,796875.0,796875.0,0.0,255000
339,2021,4485,140000,25.0,2,2.875,140000,21.08,36.42,5,5,Current,560000.0,560000.0,0.0,140000
344,2021,8907,212600,54.0,2,3.125,212600,16.28,22.9,5,5,Current,393703.7037037037,393703.7037037037,0.0,212600
351,2021,4692,194000,40.0,2,2.875,194000,37.89,38.91,5,5,Current,485000.0,485000.0,0.0,194000
365,2021,4358,119200,53.0,2,2.5,119200,29.43,34.45,5,5,Current,224905.6603773585,224905.6603773585,0.0,119200
