,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
27,2021,4225,153000,57.0,2,2.875,153000,31.45,44.87,5,5,Current,268421.0526,268421.0526,0,153000
55,2021,6975,285731,57.0,2,2.875,285731,28.85,29.84,5,5,Current,501282.4561,501282.4561,0,285731
103,2021,7913,377250,40.0,2,2.875,377250,33.67,42.08,4,4,Current,943125.0,943125.0,0,377250
154,2021,12561,375000,28.0,2,3.0,375000,36.16,36.71,5,5,Current,1339285.714,1339285.714,0,375000
169,2021,8576,227000,51.0,2,2.5,227000,25.53,26.04,5,5,Current,445098.0392,445098.0392,0,227000
219,2021,9554,259553,29.0,2,3.0,260000,23.58,35.73,4,3,Current,896551.7241,896551.7241,0,259553
229,2021,8927,260000,34.0,2,2.75,260000,28.86,31.21,5,5,Current,764705.8824,764705.8824,0,260000
233,2021,7828,250000,46.0,2,3.0,250000,19.85,42.91,4,2,Current,543478.2609,543478.2609,0,250000
237,2021,4831,269526,29.0,2,2.875,270000,41.33,46.14,5,5,Current,931034.4828,931034.4828,0,269526
261,2021,7577,190000,56.0,2,2.625,190000,18.08,42.1,4,4,Current,339285.7143,339285.7143,0,190000
281,2021,6442,250000,23.0,2,2.875,250000,38.56,42.85,5,5,Current,1086956.522,1086956.522,0,250000
298,2021,5715,183000,44.0,2,2.0,183000,31.81,42.56,5,5,Current,415909.0909,415909.0909,0,183000
300,2021,5195,268000,60.0,2,3.125,268000,32.0,39.99,4,4,Current,446666.6667,446666.6667,0,268000
309,2021,3541,86200,46.0,2,2.375,86200,32.06,39.12,5,5,Current,187391.3043,187391.3043,0,86200
351,2021,4692,194000,40.0,2,2.875,194000,37.89,38.91,5,5,Current,485000.0,485000.0,0,194000
365,2021,4358,119200,53.0,2,2.5,119200,29.43,34.45,5,5,Current,224905.6604,224905.6604,0,119200
370,2021,2658,84000,15.0,2,2.75,84000,43.0,46.35,5,5,Current,560000.0,560000.0,0,84000
394,2021,6794,260000,40.0,2,2.75,260000,26.23,42.56,3,4,Current,650000.0,650000.0,0,260000
420,2021,5244,218325,65.0,2,2.625,218325,24.23,37.59,5,5,Current,335884.6154,335884.6154,0,218325
